Poet,Poetry Text
Unknown,"kahnā ġhalat ġhalat to chhupānā sahīh sahīh qāsid kahā jo us ne batānā sahīh sahīh 
ye sub.h sub.h chehre kī rangat uḌī huī kal raat tum kahāñ the batānā sahīh sahīh 
dil le ke merā haath meñ kahte haiñ mujh se vo kyā loge is kā daam batānā sahīh sahīh 
āñkheñ milāo ġhair se do ham ko jām-e-mai saaqī tumheñ qasam hai pilānā sahīh sahīh 
ai mai-farosh bhiiḌ hai terī dukān par gāhak haiñ ham bhī maal dikhānā sahīh sahīh 
'sājid' to jān-o-dil se faqat aap kā hai bas kyā aap bhī haiñ us ke batānā sahīh sahīh 
kahna ghalat ghalat to chhupana sahih sahih qasid kaha jo us ne batana sahih sahih 
ye subh subh chehre ki rangat uDi hui kal raat tum kahan the batana sahih sahih 
dil le ke mera hath mein kahte hain mujh se wo kya loge is ka dam batana sahih sahih 
aankhen milao ghair se do hum ko jam-e-mai saqi tumhein qasam hai pilana sahih sahih 
ai mai-farosh bhiD hai teri dukan par gahak hain hum bhi mal dikhana sahih sahih 
'sajid' to jaan-o-dil se faqat aap ka hai bas kya aap bhi hain us ke batana sahih sahih "
Unknown,"mast nazroñ se allāh bachā.e mah-jamāloñ se allah bachā.e har balā sar pe aa jaa.e merī husn vāloñ se allah bachā.e 
in kī ma.asūmiyat par na jaanā in ke dhoke meñ hargiz na aanā luuT lete haiñ ye muskurā kar in kī chāloñ se allah bachā.e 
bholī sūrat hai bāteñ haiñ bholī muñh meñ kuchh hai magar dil meñ kuchh hai laakh chehrā sahī chāñd jaisā dil ke kāloñ se allah bachā.e 
dil meñ hai ḳhvāhish-e-hūr-o-jannat aur zāhir meñ shauq-e-ibādat bas hameñ shaiḳh jī aap jaise allāh-vāloñ se allah bachā.e 
in kī fitrat meñ hai bevafā.ī jāntī hai ye saarī ḳhudā.ī achchhe-achchhoñ ko dete haiñ dhokā bhole-bhāloñ se allah bachā.e 
mast nazron se allah bachae mah-jamalon se allah bachae har bala sar pe aa jae meri husn walon se allah bachae 
in ki masumiyat par na jaana in ke dhoke mein hargiz na aana luT lete hain ye muskura kar in ki chaalon se allah bachae 
bholi surat hai baaten hain bholi munh mein kuchh hai magar dil mein kuchh hai lakh chehra sahi chand jaisa dil ke kalon se allah bachae 
dil mein hai KHwahish-e-hur-o-jannat aur zahir mein shauq-e-ibaadat bas hamein shaiKH ji aap jaise allah-walon se allah bachae 
in ki fitrat mein hai bewafai jaanti hai ye sari KHudai achchhe-achchhon ko dete hain dhoka bhole-bhaalon se allah bachae "
Unknown,"phirūñ DhūñDtā mai-kada tauba tauba mujhe āj-kal itnī fursat nahīñ hai salāmat rahe terī āñkhoñ kī mastī mujhe mai-kashī kī zarūrat nahīñ hai 
ye tark-e-ta.alluq kā kyā tazkira hai tumhāre sivā koī apnā nahīñ hai agar tum kaho to maiñ ḳhud ko bhulā duuñ tumheñ bhuul jaane kī tāqat nahīñ hai 
hamesha mire sāmne se guzarnā nigāheñ churā kar mujhe dekh lenā mirī jaan tum mujh ko itnā batā do ye kyā chiiz hai gar mohabbat nahīñ hai 
hazāroñ tamannā.eñ hotī haiñ dil meñ hamārī to bas ik tamanna yahī hai mujhe ik dafa apnā kah ke pukāro bas is ke sivā koī hasrat nahīñ hai 
phirun DhunDta mai-kada tauba tauba mujhe aaj-kal itni fursat nahin hai salamat rahe teri aankhon ki masti mujhe mai-kashi ki zarurat nahin hai 
ye tark-e-talluq ka kya tazkira hai tumhaare siwa koi apna nahin hai agar tum kaho to main KHud ko bhula dun tumhein bhul jaane ki taqat nahin hai 
hamesha mere samne se guzarna nigahen chura kar mujhe dekh lena meri jaan tum mujh ko itna bata do ye kya chiz hai gar mohabbat nahin hai 
hazaron tamannaen hoti hain dil mein hamari to bas ek tamanna yahi hai mujhe ek dafa apna kah ke pukaro bas is ke siwa koi hasrat nahin hai "
Unknown,"sahar qarīb hai tāroñ kā haal kyā hogā ab intizār ke māroñ kā haal kyā hogā 
tirī nigāh ne zālim kabhī hai ye sochā tirī nigāh ke māroñ kā haal kyā hogā 
muqābla hai tire husn kā bahāroñ se na jaane aaj bahāroñ kā haal kyā hogā 
naqāb un kā ulaTnā to chāhtā huuñ magar bigaḌ ga.e to nazāroñ kā haal kyā hogā 
mazāq-e-dīd hī 'sahbā' agar badal jaa.e to zindagī kī bahāroñ kā haal kyā hogā 
sahar qarib hai taron ka haal kya hoga ab intizar ke maron ka haal kya hoga 
teri nigah ne zalim kabhi hai ye socha teri nigah ke maron ka haal kya hoga 
muqabla hai tere husn ka bahaaron se na jaane aaj bahaaron ka haal kya hoga 
naqab un ka ulaTna to chahta hun magar bigaD gae to nazaron ka haal kya hoga 
mazaq-e-did hi 'sahba' agar badal jae to zindagi ki bahaaron ka haal kya hoga "
Unknown,"merī āñkhoñ ko baḳhshe haiñ aañsū dil ko dāġh-e-alam de ga.e haiñ is ināyat pe qurbān jā.ūñ pyaar māñgā thā ġham de ga.e haiñ 
dene aa.e the ham ko tasallī vo tasallī to kyā ham ko dete toḌ kar ka.aba-e-dil hamārā hasratoñ ke sanam de ga.e haiñ 
dil taḌaptā hai fariyād kar ke aañkh Dartī hai aañsū bahā ke aisī ulfat se vo jaate jaate mujh ko apnī qasam de ga.e haiñ 
marhabā mai-kashoñ kā muqaddar ab to piinā ibādat hai 'anvar' aaj rindoñ ko piine kī dāvat vā.iz-e-mohtaram de ga.e haiñ 
meri aankhon ko baKHshe hain aansu dil ko dagh-e-alam de gae hain is inayat pe qurban jaun pyar manga tha gham de gae hain 
dene aae the hum ko tasalli wo tasalli to kya hum ko dete toD kar kaba-e-dil hamara hasraton ke sanam de gae hain 
dil taDapta hai fariyaad kar ke aankh Darti hai aansu baha ke aisi ulfat se wo jate jate mujh ko apni qasam de gae hain 
marhaba mai-kashon ka muqaddar ab to pina ibaadat hai 'anwar' aaj rindon ko pine ki dawat waiz-e-mohtaram de gae hain "
Poet,Poetry Text
Poet,Poetry Text
Mirza Ghalib,"bāzīcha-e-atfāl hai duniyā mire aage hotā hai shab-o-roz tamāshā mire aage 
ik khel hai aurañg-e-sulaimāñ mire nazdīk ik baat hai ejāz-e-masīhā mire aage 
juz naam nahīñ sūrat-e-ālam mujhe manzūr juz vahm nahīñ hastī-e-ashiyā mire aage 
hotā hai nihāñ gard meñ sahrā mire hote ghistā hai jabīñ ḳhaak pe dariyā mire aage 
mat pūchh ki kyā haal hai merā tire pīchhe tū dekh ki kyā rañg hai terā mire aage 
sach kahte ho ḳhud-bīn o ḳhud-ārā huuñ na kyuuñ huuñ baiThā hai but-e-ā.ina-sīmā mire aage 
phir dekhiye andāz-e-gul-afshānī-e-guftār rakh de koī paimāna-e-sahbā mire aage 
nafrat kā gumāñ guzre hai maiñ rashk se guzrā kyūñkar kahūñ lo naam na un kā mire aage 
īmāñ mujhe roke hai jo khīñche hai mujhe kufr ka.aba mire pīchhe hai kalīsā mire aage 
āshiq huuñ pa māshūq-farebī hai mirā kaam majnūñ ko burā kahtī hai lailā mire aage 
ḳhush hote haiñ par vasl meñ yuuñ mar nahīñ jaate aa.ī shab-e-hijrāñ kī tamannā mire aage 
hai maujzan ik qulzum-e-ḳhūñ kaash yahī ho aatā hai abhī dekhiye kyā kyā mire aage 
go haath ko jumbish nahīñ āñkhoñ meñ to dam hai rahne do abhī sāġhar-o-mīnā mire aage 
ham-pesha o ham-mashrab o hamrāz hai merā 'ġhālib' ko burā kyuuñ kaho achchhā mire aage 
bazicha-e-atfal hai duniya mere aage hota hai shab-o-roz tamasha mere aage 
ek khel hai aurang-e-sulaiman mere nazdik ek baat hai ejaz-e-masiha mere aage 
juz nam nahin surat-e-alam mujhe manzur juz wahm nahin hasti-e-ashiya mere aage 
hota hai nihan gard mein sahra mere hote ghista hai jabin KHak pe dariya mere aage 
mat puchh ki kya haal hai mera tere pichhe tu dekh ki kya rang hai tera mere aage 
sach kahte ho KHud-bin o KHud-ara hun na kyun hun baiTha hai but-e-aina-sima mere aage 
phir dekhiye andaz-e-gul-afshani-e-guftar rakh de koi paimana-e-sahba mere aage 
nafrat ka guman guzre hai main rashk se guzra kyunkar kahun lo nam na un ka mere aage 
iman mujhe roke hai jo khinche hai mujhe kufr kaba mere pichhe hai kalisa mere aage 
aashiq hun pa mashuq-farebi hai mera kaam majnun ko bura kahti hai laila mere aage 
KHush hote hain par wasl mein yun mar nahin jate aai shab-e-hijran ki tamanna mere aage 
hai maujzan ek qulzum-e-KHun kash yahi ho aata hai abhi dekhiye kya kya mere aage 
go hath ko jumbish nahin aankhon mein to dam hai rahne do abhi saghar-o-mina mere aage 
ham-pesha o ham-mashrab o hamraaz hai mera 'ghaalib' ko bura kyun kaho achchha mere aage "
Mirza Ghalib,"muddat huī hai yaar ko mehmāñ kiye hue josh-e-qadah se bazm charāġhāñ kiye hue 
kartā huuñ jam.a phir jigar-e-laḳht-laḳht ko arsa huā hai dāvat-e-mizhgāñ kiye hue 
phir vaz'-e-ehtiyāt se rukne lagā hai dam barsoñ hue haiñ chaak garebāñ kiye hue 
phir garm-nāla-hā-e-sharar-bār hai nafas muddat huī hai sair-e-charāġhāñ kiye hue 
phir pursish-e-jarāhat-e-dil ko chalā hai ishq sāmān-e-sad-hazār namak-dāñ kiye hue 
phir bhar rahā huuñ ḳhāma-e-mizhgāñ ba-ḳhūn-e-dil sāz-e-chaman tarāzi-e-dāmāñ kiye hue 
bāham-digar hue haiñ dil o diida phir raqīb nazzāra o ḳhayāl kā sāmāñ kiye hue 
dil phir tavāf-e-kū-e-malāmat ko jaa.e hai pindār kā sanam-kada vīrāñ kiye hue 
phir shauq kar rahā hai ḳharīdār kī talab arz-e-matā-e-aql-o-dil-o-jāñ kiye hue 
dauḌe hai phir har ek gul-o-lāla par ḳhayāl sad-gulsitāñ nigāh kā sāmāñ kiye hue 
phir chāhtā huuñ nāma-e-dildār kholnā jaañ nazr-e-dil-farebi-e-unvāñ kiye hue 
māñge hai phir kisī ko lab-e-bām par havas zulf-e-siyāh ruḳh pe pareshāñ kiye hue 
chāhe hai phir kisī ko muqābil meñ aarzū surme se tez dashna-e-mizhgāñ kiye hue 
ik nau-bahār-e-nāz ko taake hai phir nigāh chehra faroġh-e-mai se gulistāñ kiye hue 
phir jī meñ hai ki dar pe kisī ke paḌe raheñ sar zer-bār-e-minnat-e-darbāñ kiye hue 
jī DhūñDtā hai phir vahī fursat ki raat din baiThe raheñ tasavvur-e-jānāñ kiye hue 
'ġhālib' hameñ na chheḌ ki phir josh-e-ashk se baiThe haiñ ham tahayya-e-tūfāñ kiye hue 
muddat hui hai yar ko mehman kiye hue josh-e-qadah se bazm charaghan kiye hue 
karta hun jama phir jigar-e-laKHt-laKHt ko arsa hua hai dawat-e-mizhgan kiye hue 
phir waz'-e-ehtiyat se rukne laga hai dam barson hue hain chaak gareban kiye hue 
phir garm-nala-ha-e-sharar-bar hai nafas muddat hui hai sair-e-charaghan kiye hue 
phir pursish-e-jarahat-e-dil ko chala hai ishq saman-e-sad-hazar namak-dan kiye hue 
phir bhar raha hun KHama-e-mizhgan ba-KHun-e-dil saz-e-chaman taraazi-e-daman kiye hue 
baham-digar hue hain dil o dida phir raqib nazzara o KHayal ka saman kiye hue 
dil phir tawaf-e-ku-e-malamat ko jae hai pindar ka sanam-kada viran kiye hue 
phir shauq kar raha hai KHaridar ki talab arz-e-mata-e-aql-o-dil-o-jaan kiye hue 
dauDe hai phir har ek gul-o-lala par KHayal sad-gulsitan nigah ka saman kiye hue 
phir chahta hun nama-e-dildar kholna jaan nazr-e-dil-farebi-e-unwan kiye hue 
mange hai phir kisi ko lab-e-baam par hawas zulf-e-siyah ruKH pe pareshan kiye hue 
chahe hai phir kisi ko muqabil mein aarzu surme se tez dashna-e-mizhgan kiye hue 
ek nau-bahaar-e-naz ko take hai phir nigah chehra farogh-e-mai se gulistan kiye hue 
phir ji mein hai ki dar pe kisi ke paDe rahen sar zer-bar-e-minnat-e-darban kiye hue 
ji DhunDta hai phir wahi fursat ki raat din baiThe rahen tasawwur-e-jaanan kiye hue 
'ghaalib' hamein na chheD ki phir josh-e-ashk se baiThe hain hum tahayya-e-tufan kiye hue "
