Poet,Poetry Text
Saba Akbarabadi,"sādgī to hamārī zarā dekhiye e.atibār aap ke va.ade par kar liyā baat to sirf ik raat kī thī magar intizār aap kā umr-bhar kar liyā 
ishq meñ uljhaneñ pahle hī kam na thiiñ aur paidā nayā dard-e-sar kar liyā log Darte haiñ qātil kī parchhā.īñ se ham ne qātil ke dil meñ bhī ghar kar liyā 
zikr ik bevafā aur sitamgar kā thā aap kā aisī bātoñ se kyā vāsta aap to bevafā aur sitamgar nahīñ aap ne kis liye muñh udhar kar liyā 
zindagī-bhar ke shikve gile the bahut vaqt itnā kahāñ thā ki dohrāte ham ek hichkī meñ kah Daalī sab dāstāñ ham ne qisse ko yuuñ muḳhtasar kar liyā 
be-qarārī milegī mujhe na sukūñ chain chhin jā.egā niiñd uḌ jā.egī apnā anjām sab ham ko ma.alūm thā aap ne dil kā saudā magar kar liyā 
zindagī ke safar meñ bahut duur tak jab koī dost aaya na ham ko nazar ham ne ghabrā ke tanhā.iyoñ se 'sabā' ek dushman ko ḳhud ham-safar kar liyā 
sadgi to hamari zara dekhiye eatibar aap ke wade par kar liya baat to sirf ek raat ki thi magar intizar aap ka umr-bhar kar liya 
ishq mein uljhanen pahle hi kam na thin aur paida naya dard-e-sar kar liya log Darte hain qatil ki parchhain se hum ne qatil ke dil mein bhi ghar kar liya 
zikr ek bewafa aur sitamgar ka tha aap ka aisi baaton se kya wasta aap to bewafa aur sitamgar nahin aap ne kis liye munh udhar kar liya 
zindagi-bhar ke shikwe gile the bahut waqt itna kahan tha ki dohraate hum ek hichki mein kah Dali sab dastan hum ne qisse ko yun muKHtasar kar liya 
be-qarari milegi mujhe na sukun chain chhin jaega nind uD jaegi apna anjam sab hum ko malum tha aap ne dil ka sauda magar kar liya 
zindagi ke safar mein bahut dur tak jab koi dost aaya na hum ko nazar hum ne ghabra ke tanhaiyon se 'saba' ek dushman ko KHud ham-safar kar liya "
Fana bulandshahri,"hai kahāñ kā irāda tumhārā sanam kis ke dil ko adāoñ se bahlāoge sach batāo ke is chāñdnī raat meñ kis se va.ada kiyā hai kahāñ jāoge 
dekho achchhā nahīñ ye tumhārā chalan ye javānī ke din aur ye shoḳhiyāñ yuuñ na aaya karo baal khole hue varna duniyā meñ badnām ho jāoge 
aaj jaao na bechain kar ke mujhe jān-e-jāñ dil dukhānā burī baat hai ham taḌapte raheñge yahāñ rāt-bhar tum to ārām kī niiñd so jāoge 
paas aao to tum ko lagā.eñ gale muskurāte ho kyoñ duur se dekh kar yūñhī guzre agar ye javānī ke din ham bhī pachhtā.eñge tum bhī pachhtāoge 
bevafā be-muravvat hai in kī nazar ye badal jā.eñge zindagī luuT kar husn vāloñ se dil ko lagāyā agar ai 'fanā' dekho be-maut mar jāoge 
hai kahan ka irada tumhaara sanam kis ke dil ko adaon se bahlaoge sach batao ke is chandni raat mein kis se wada kiya hai kahan jaoge 
dekho achchha nahin ye tumhaara chalan ye jawani ke din aur ye shoKHiyan yun na aaya karo baal khole hue warna duniya mein badnam ho jaoge 
aaj jao na bechain kar ke mujhe jaan-e-jaan dil dukhana buri baat hai hum taDapte rahenge yahan raat-bhar tum to aaram ki nind so jaoge 
pas aao to tum ko lagaen gale muskuraate ho kyon dur se dekh kar yunhi guzre agar ye jawani ke din hum bhi pachhtaenge tum bhi pachhtaoge 
bewafa be-murawwat hai in ki nazar ye badal jaenge zindagi luT kar husn walon se dil ko lagaya agar ai 'fana' dekho be-maut mar jaoge "
Fana bulandshahri,"aañkh uTThī mohabbat ne añgḌā.ī lī dil kā saudā huā chāñdnī raat meñ un kī nazroñ ne kuchh aisā jaadū kiyā luT ga.e ham to pahlī mulāqāt meñ 
saath apnā vafā meñ na chhūTe kabhī pyaar kī Dor bañdh kar na TuuTe kabhī chhūT jaa.e zamāna koī ġham nahīñ haath terā rahe bas mire haath meñ 
rut hai barsāt kī dekho zid mat karo raat añdherī hai bādal haiñ chhā.e hue ruk bhī jaao sanam tum ko merī qasam ab kahāñ jāoge aisī barsāt meñ 
hai terī yaad is dil meñ lipTī huī har ghaḌī hai tasavvur tire husn kā terī ulfat kā pahra lagā hai sanam kaun aa.egā mere ḳhayālāt meñ 
aankh uTThi mohabbat ne angDai li dil ka sauda hua chandni raat mein un ki nazron ne kuchh aisa jadu kiya luT gae hum to pahli mulaqat mein 
sath apna wafa mein na chhuTe kabhi pyar ki Dor bandh kar na TuTe kabhi chhuT jae zamana koi gham nahin hath tera rahe bas mere hath mein 
rut hai barsat ki dekho zid mat karo raat andheri hai baadal hain chhae hue ruk bhi jao sanam tum ko meri qasam ab kahan jaoge aisi barsat mein 
hai teri yaad is dil mein lipTi hui har ghaDi hai tasawwur tere husn ka teri ulfat ka pahra laga hai sanam kaun aaega mere KHayalat mein "
Fana Nizami Kanpuri,"aisā banñā sañvarnā mubārak tumheñ kam se kam itnā kahnā hamārā karo chāñd sharmā.egā chāñdnī raat meñ yuuñ na zulfoñ ko apnī sañvārā karo 
ye tabassum ye aariz ye raushan jabīñ ye adā ye nigāheñ ye zulfeñ hasīñ aa.ine kī nazar lag na jaa.e kahīñ jān-e-jāñ apnā sadqa utārā karo 
dil to kyā chiiz hai jaan se jā.eñge maut aane se pahle hī mar jā.eñge ye adā dekhne vaale luT jā.eñge yuuñ na hañs hañs ke dilbar ishāra karo 
fikr-e-uqbā kī mastī utar jā.egī tauba TuuTī to qismat sañvar jā.egī tum ko duniyā meñ jannat nazar aa.egī shaiḳh jī mai-kade kā nazāra karo 
ḳhūbsūrat ghaTāoñ-bharī raat meñ lutf uThāyā karo aisī barsāt meñ jaam le kar chhalaktā huā haath meñ mai-kade meñ bhī ik shab guzārā karo 
kaam aa.e na mushkil meñ koī yahāñ matlabī dost haiñ matlabī yaar haiñ is jahāñ meñ nahīñ koī ahl-e-vafā ai 'fanā' is jahāñ se kināra karo 
aisa banna sanwarna mubarak tumhein kam se kam itna kahna hamara karo chand sharmaega chandni raat mein yun na zulfon ko apni sanwara karo 
ye tabassum ye aariz ye raushan jabin ye ada ye nigahen ye zulfen hasin aaine ki nazar lag na jae kahin jaan-e-jaan apna sadqa utara karo 
dil to kya chiz hai jaan se jaenge maut aane se pahle hi mar jaenge ye ada dekhne wale luT jaenge yun na hans hans ke dilbar ishaara karo 
fikr-e-uqba ki masti utar jaegi tauba TuTi to qismat sanwar jaegi tum ko duniya mein jannat nazar aaegi shaiKH ji mai-kade ka nazara karo 
KHubsurat ghaTaon-bhari raat mein lutf uThaya karo aisi barsat mein jam le kar chhalakta hua hath mein mai-kade mein bhi ek shab guzara karo 
kaam aae na mushkil mein koi yahan matlabi dost hain matlabi yar hain is jahan mein nahin koi ahl-e-wafa ai 'fana' is jahan se kinara karo "
Qamar Jalalvi,"na rukte haiñ aañsū na thamte haiñ naale kaho koī kaise mohabbat chhupā le 
kare koī kyā gar vo aa.eñ yakāyak nigāhoñ ko roke ki dil ko sañbhāle 
chaman vaale bijlī se bole na chāle ġharīboñ ke ghar be-ḳhatā phūñk Daale 
qayāmat haiñ zālim kī nīchī nigāheñ ḳhudā jaane kyā ho jo nazreñ uThā le 
karūñ aisā sajda vo ghabrā ke kah deñ ḳhudā ke liye ab to sar ko uThā le 
tumheñ banda-parvar hamīñ jānte haiñ baḌe sīdhe-sādhe baḌe bhole-bhāle 
bas itnī sī duurī ye maiñ huuñ ye manzil kahāñ aa ke phūTe haiñ paaoñ ke chhāle 
'qamar' maiñ huuñ muḳhtār tanzīm-e-shab kā haiñ mere hī bas meñ añdhere ujāle 
na rukte hain aansu na thamte hain nale kaho koi kaise mohabbat chhupa le 
kare koi kya gar wo aaen yakayak nigahon ko roke ki dil ko sanbhaale 
chaman wale bijli se bole na chaale gharibon ke ghar be-KHata phunk Dale 
qayamat hain zalim ki nichi nigahen KHuda jaane kya ho jo nazren uTha le 
karun aisa sajda wo ghabra ke kah den KHuda ke liye ab to sar ko uTha le 
tumhein banda-parwar hamin jaante hain baDe sidhe-sadhe baDe bhole-bhaale 
bas itni si duri ye main hun ye manzil kahan aa ke phuTe hain paon ke chhaale 
'qamar' main hun muKHtar tanzim-e-shab ka hain mere hi bas mein andhere ujale "
Unknown,"kahnā ġhalat ġhalat to chhupānā sahīh sahīh qāsid kahā jo us ne batānā sahīh sahīh 
ye sub.h sub.h chehre kī rangat uḌī huī kal raat tum kahāñ the batānā sahīh sahīh 
dil le ke merā haath meñ kahte haiñ mujh se vo kyā loge is kā daam batānā sahīh sahīh 
āñkheñ milāo ġhair se do ham ko jām-e-mai saaqī tumheñ qasam hai pilānā sahīh sahīh 
ai mai-farosh bhiiḌ hai terī dukān par gāhak haiñ ham bhī maal dikhānā sahīh sahīh 
'sājid' to jān-o-dil se faqat aap kā hai bas kyā aap bhī haiñ us ke batānā sahīh sahīh 
kahna ghalat ghalat to chhupana sahih sahih qasid kaha jo us ne batana sahih sahih 
ye subh subh chehre ki rangat uDi hui kal raat tum kahan the batana sahih sahih 
dil le ke mera hath mein kahte hain mujh se wo kya loge is ka dam batana sahih sahih 
aankhen milao ghair se do hum ko jam-e-mai saqi tumhein qasam hai pilana sahih sahih 
ai mai-farosh bhiD hai teri dukan par gahak hain hum bhi mal dikhana sahih sahih 
'sajid' to jaan-o-dil se faqat aap ka hai bas kya aap bhi hain us ke batana sahih sahih "
Qamar Jalalvi,"un kī taraf se tark-e-mulāqāt ho ga.ī ham jis se Dar rahe the vahī baat ho ga.ī 
ā.īna dekhne meñ na.ī baat ho ga.ī un se hī aaj un kī mulāqāt ho ga.ī 
tai un se roz-e-hashr mulāqāt ho ga.ī itnī sī baat kitnī baḌī baat ho ga.ī 
kam-zarfī-e-hayāt se tang aa gayā thā maiñ achchhā huā qazā se mulāqāt ho ga.ī 
din meñ bhaTak rahe haiñ jo manzil kī raah se ye log kyā kareñge agar raat ho ga.ī 
aa.e haiñ vo marīz-e-mohabbat ko dekh kar aañsū batā rahe haiñ koī baat ho ga.ī 
thā aur kaun pūchhne vaalā marīz kā tum aa ga.e to pursish-e-hālāt ho ga.ī 
ai bulbul-e-bahār-e-chaman apnī ḳhair maañg sayyād-o-bāġhbāñ meñ mulāqāt ho ga.ī 
jab zulf yaad aa ga.ī yuuñ ashk bah ga.e jaise añdherī raat meñ barsāt ho ga.ī 
gulshan kā hosh ahl-e-junūñ ko bhalā kahāñ sahrā meñ paḌ rahe to basar raat ho ga.ī 
dar-parda bazm-e-ġhair meñ donoñ kī guftugū uTThī udhar nigāh idhar baat ho ga.ī 
kab tak 'qamar' ho shaam ke va.ade kā intizār sūraj chhupā charāġh jale raat ho ga.ī 
un ki taraf se tark-e-mulaqat ho gai hum jis se Dar rahe the wahi baat ho gai 
aaina dekhne mein nai baat ho gai un se hi aaj un ki mulaqat ho gai 
tai un se roz-e-hashr mulaqat ho gai itni si baat kitni baDi baat ho gai 
kam-zarfi-e-hayat se tang aa gaya tha main achchha hua qaza se mulaqat ho gai 
din mein bhaTak rahe hain jo manzil ki rah se ye log kya karenge agar raat ho gai 
aae hain wo mariz-e-mohabbat ko dekh kar aansu bata rahe hain koi baat ho gai 
tha aur kaun puchhne wala mariz ka tum aa gae to pursish-e-haalat ho gai 
ai bulbul-e-bahaar-e-chaman apni KHair mang sayyaad-o-baghban mein mulaqat ho gai 
jab zulf yaad aa gai yun ashk bah gae jaise andheri raat mein barsat ho gai 
gulshan ka hosh ahl-e-junun ko bhala kahan sahra mein paD rahe to basar raat ho gai 
dar-parda bazm-e-ghair mein donon ki guftugu uTThi udhar nigah idhar baat ho gai 
kab tak 'qamar' ho sham ke wade ka intizar suraj chhupa charagh jale raat ho gai "
Unknown,"mast nazroñ se allāh bachā.e mah-jamāloñ se allah bachā.e har balā sar pe aa jaa.e merī husn vāloñ se allah bachā.e 
in kī ma.asūmiyat par na jaanā in ke dhoke meñ hargiz na aanā luuT lete haiñ ye muskurā kar in kī chāloñ se allah bachā.e 
bholī sūrat hai bāteñ haiñ bholī muñh meñ kuchh hai magar dil meñ kuchh hai laakh chehrā sahī chāñd jaisā dil ke kāloñ se allah bachā.e 
dil meñ hai ḳhvāhish-e-hūr-o-jannat aur zāhir meñ shauq-e-ibādat bas hameñ shaiḳh jī aap jaise allāh-vāloñ se allah bachā.e 
in kī fitrat meñ hai bevafā.ī jāntī hai ye saarī ḳhudā.ī achchhe-achchhoñ ko dete haiñ dhokā bhole-bhāloñ se allah bachā.e 
mast nazron se allah bachae mah-jamalon se allah bachae har bala sar pe aa jae meri husn walon se allah bachae 
in ki masumiyat par na jaana in ke dhoke mein hargiz na aana luT lete hain ye muskura kar in ki chaalon se allah bachae 
bholi surat hai baaten hain bholi munh mein kuchh hai magar dil mein kuchh hai lakh chehra sahi chand jaisa dil ke kalon se allah bachae 
dil mein hai KHwahish-e-hur-o-jannat aur zahir mein shauq-e-ibaadat bas hamein shaiKH ji aap jaise allah-walon se allah bachae 
in ki fitrat mein hai bewafai jaanti hai ye sari KHudai achchhe-achchhon ko dete hain dhoka bhole-bhaalon se allah bachae "
Unknown,"phirūñ DhūñDtā mai-kada tauba tauba mujhe āj-kal itnī fursat nahīñ hai salāmat rahe terī āñkhoñ kī mastī mujhe mai-kashī kī zarūrat nahīñ hai 
ye tark-e-ta.alluq kā kyā tazkira hai tumhāre sivā koī apnā nahīñ hai agar tum kaho to maiñ ḳhud ko bhulā duuñ tumheñ bhuul jaane kī tāqat nahīñ hai 
hamesha mire sāmne se guzarnā nigāheñ churā kar mujhe dekh lenā mirī jaan tum mujh ko itnā batā do ye kyā chiiz hai gar mohabbat nahīñ hai 
hazāroñ tamannā.eñ hotī haiñ dil meñ hamārī to bas ik tamanna yahī hai mujhe ik dafa apnā kah ke pukāro bas is ke sivā koī hasrat nahīñ hai 
phirun DhunDta mai-kada tauba tauba mujhe aaj-kal itni fursat nahin hai salamat rahe teri aankhon ki masti mujhe mai-kashi ki zarurat nahin hai 
ye tark-e-talluq ka kya tazkira hai tumhaare siwa koi apna nahin hai agar tum kaho to main KHud ko bhula dun tumhein bhul jaane ki taqat nahin hai 
hamesha mere samne se guzarna nigahen chura kar mujhe dekh lena meri jaan tum mujh ko itna bata do ye kya chiz hai gar mohabbat nahin hai 
hazaron tamannaen hoti hain dil mein hamari to bas ek tamanna yahi hai mujhe ek dafa apna kah ke pukaro bas is ke siwa koi hasrat nahin hai "
